term_index,job_id,batch_index,circuit_index_in_job,pauli_label_qiskit_order,pauli_label_circuit_order,coefficient_real,shots,ideal_expectation_value,measured_expectation_value,expectation_error,ideal_contribution,measured_contribution,contribution_error,abs_expectation_error,abs_contribution_error,counts_json
0,019e10f6-301b-75a0-b01e-39a6d6490cfb,1,0,IIIIIIIIIII,IIIIIIIIIII,0.49951171875000244,10,0.9999999999999998,1.0,2.220446049250313e-16,0.49951171875000233,0.49951171875000244,1.1102230246251565e-16,2.220446049250313e-16,1.1102230246251565e-16,"{""00111010100"": 1, ""00111100011"": 1, ""01000100101"": 1, ""01010000100"": 1, ""01011010001"": 1, ""11001100001"": 1, ""11100110011"": 1, ""11110010100"": 1, ""11110111001"": 1, ""11111010011"": 1}"
1,019e10f6-301b-75a0-b01e-39a6d6490cfb,1,1,IIIIIIIIIZX,XZIIIIIIIII,-0.00048828124999999913,10,0.9999999999999999,0.6,-0.3999999999999999,-0.0004882812499999991,-0.00029296874999999945,0.00019531249999999963,0.3999999999999999,0.00019531249999999963,"{""00001010101"": 1, ""00001011011"": 1, ""00010111111"": 1, ""00100111101"": 1, ""00101100000"": 1, ""01010011011"": 1, ""01011010000"": 1, ""10001010100"": 1, ""10010111100"": 1, ""10100100000"": 1}"
2,019e10f6-301b-75a0-b01e-39a6d6490cfb,1,2,IIIIIIIIZXZ,ZXZIIIIIIII,-0.00048828124999999913,10,0.9999999999999999,1.0,1.1102230246251565e-16,-0.0004882812499999991,-0.00048828124999999913,-5.421010862427522e-20,1.1102230246251565e-16,5.421010862427522e-20,"{""00001001110"": 1, ""00011100000"": 1, ""00111010000"": 1, ""01000100000"": 1, ""01001001101"": 1, ""01101000101"": 1, ""10001011000"": 1, ""10001111101"": 1, ""11000110011"": 1, ""11100101110"": 1}"
3,019e10f6-301b-75a0-b01e-39a6d6490cfb,1,3,IIIIIIIIZYY,YYZIIIIIIII,-0.00048828124999999913,10,0.9999999999999999,0.8,-0.19999999999999984,-0.0004882812499999991,-0.0003906249999999993,9.765624999999976e-05,0.19999999999999984,9.765624999999976e-05,"{""00110100000"": 1, ""01110011101"": 1, ""01111100110"": 1, ""10000000001"": 1, ""10000001011"": 1, ""10001000000"": 1, ""10100000011"": 1, ""11000001101"": 1, ""11001010000"": 1, ""11100001011"": 1}"
4,019e10f6-301b-75a0-b01e-39a6d6490cfb,1,4,IIIIIIIZXIX,XIXZIIIIIII,-0.00048828124999999913,10,0.9999999999999999,0.6,-0.3999999999999999,-0.0004882812499999991,-0.00029296874999999945,0.00019531249999999963,0.3999999999999999,0.00019531249999999963,"{""00011011111"": 1, ""00100011011"": 1, ""00101001100"": 1, ""00111110111"": 1, ""01000100000"": 1, ""10000101100"": 1, ""10000111011"": 1, ""10010010100"": 1, ""11000010111"": 1, ""11001110111"": 1}"
5,019e10f6-301b-75a0-b01e-39a6d6490cfb,1,5,IIIIIIIZXZI,IZXZIIIIIII,-0.00048828124999999913,10,0.9999999999999999,1.0,1.1102230246251565e-16,-0.0004882812499999991,-0.00048828124999999913,-5.421010862427522e-20,1.1102230246251565e-16,5.421010862427522e-20,"{""00100000111"": 1, ""00101111011"": 1, ""01101111010"": 1, ""10010000000"": 1, ""10111110111"": 1, ""11000101100"": 1, ""11001010110"": 1, ""11001011100"": 1, ""11101110111"": 1, ""11110111011"": 1}"
6,019e10f6-301b-75a0-b01e-39a6d6490cfb,1,6,IIIIIIIZYXY,YXYZIIIIIII,0.00048828124999999913,10,-0.9999999999999999,-1.0,-1.1102230246251565e-16,-0.0004882812499999991,-0.00048828124999999913,-5.421010862427522e-20,1.1102230246251565e-16,5.421010862427522e-20,"{""00000111101"": 1, ""00001110100"": 1, ""01000100100"": 1, ""01011111011"": 1, ""10001000100"": 1, ""10001111000"": 1, ""10011110111"": 1, ""10110011110"": 2, ""11000111000"": 1}"
7,019e10f6-301b-75a0-b01e-39a6d6490cfb,1,7,IIIIIIIZYYZ,ZYYZIIIIIII,-0.00048828124999999913,10,0.9999999999999999,0.8,-0.19999999999999984,-0.0004882812499999991,-0.0003906249999999993,9.765624999999976e-05,0.19999999999999984,9.765624999999976e-05,"{""00100110101"": 1, ""00110001001"": 1, ""01010011001"": 1, ""01010110101"": 1, ""10001110011"": 1, ""10110111010"": 1, ""11011001111"": 1, ""11100000011"": 1, ""11101001001"": 1, ""11111001101"": 1}"
8,019e10f6-301b-75a0-b01e-39a6d6490cfb,1,8,IIIIIIZXIXZ,ZXIXZIIIIII,-0.00048828124999999913,10,0.9999999999999999,0.8,-0.19999999999999984,-0.0004882812499999991,-0.0003906249999999993,9.765624999999976e-05,0.19999999999999984,9.765624999999976e-05,"{""00001100011"": 1, ""00011000000"": 1, ""00101000000"": 1, ""00101011000"": 1, ""10001001101"": 1, ""10011010101"": 1, ""10100100011"": 1, ""11011000011"": 1, ""11011110101"": 1, ""11111000101"": 1}"
9,019e10f6-301b-75a0-b01e-39a6d6490cfb,1,9,IIIIIIZXIYY,YYIXZIIIIII,-0.00048828124999999913,10,0.9999999999999999,0.6,-0.3999999999999999,-0.0004882812499999991,-0.00029296874999999945,0.00019531249999999963,0.3999999999999999,0.00019531249999999963,"{""00001010101"": 1, ""00001110110"": 1, ""00011000010"": 1, ""00111101101"": 1, ""01101010101"": 1, ""01110000011"": 1, ""10000010110"": 1, ""11100011001"": 1, ""11110100000"": 1, ""11111111000"": 1}"
10,019e10f6-301b-75a0-b01e-39a6d6490cfb,1,10,IIIIIIZXZII,IIZXZIIIIII,-0.00048828124999999913,10,0.9999999999999999,1.0,1.1102230246251565e-16,-0.0004882812499999991,-0.00048828124999999913,-5.421010862427522e-20,1.1102230246251565e-16,5.421010862427522e-20,"{""00010001110"": 1, ""00110110111"": 1, ""01010001111"": 1, ""01010011010"": 1, ""10001101110"": 2, ""10011001100"": 1, ""10100101111"": 1, ""10110011000"": 1, ""10110011011"": 1}"
11,019e10f6-301b-75a0-b01e-39a6d6490cfb,1,11,IIIIIIZXZZX,XZZXZIIIIII,-0.00048828124999999913,10,0.9999999999999999,0.6,-0.3999999999999999,-0.0004882812499999991,-0.00029296874999999945,0.00019531249999999963,0.3999999999999999,0.00019531249999999963,"{""01001000011"": 1, ""01011111011"": 1, ""01100101011"": 1, ""01110100011"": 1, ""01111100000"": 1, ""10000011000"": 1, ""10111101101"": 1, ""11010100000"": 1, ""11010101100"": 1, ""11111000011"": 1}"
12,019e10f6-301b-75a0-b01e-39a6d6490cfb,1,12,IIIIIIZYXXY,YXXYZIIIIII,-0.00048828124999999913,10,0.9999999999999999,1.0,1.1102230246251565e-16,-0.0004882812499999991,-0.00048828124999999913,-5.421010862427522e-20,1.1102230246251565e-16,5.421010862427522e-20,"{""00001100101"": 1, ""00001101111"": 1, ""00101110100"": 1, ""01010011110"": 1, ""01110011000"": 1, ""10000010100"": 1, ""10101110010"": 1, ""11011001100"": 1, ""11100111011"": 1, ""11111100000"": 1}"
